,Mic1,Mic2,Ast1,Ast2,Ex1,Ex2,Ex3,Ex4,Oli1,Oli2,Oli3,In1,In2,In3,Opc1,Opc2
APOE,0.08251035200948394,0.022965282942256887,-0.06354841704763314,0.024884581005486205,0.002129522243127391,0.006146596108039293,-0.005869405617660869,-0.003229505073594718,0.0006379849061729498,0.004633937097201884,-0.003726223391413609,-0.002828928528212499,0.004838180913503978,0.0004569454152220503,0.01834013624452826,0.02145261137828209
SPP1,0.07800530928515662,0.012532415688980886,0.00047114449140021056,0.008943985460166393,-0.0008882375789822053,0.007924056713591792,-0.0023104656606741714,-0.002198804527152287,0.06061619306062057,-0.00885673536923854,-0.021834925259216157,-0.005760250752197672,0.0266100321311608,-0.00891217600877153,0.004893142358395719,0.0008012282934455066
C1QC,0.07787120981108174,0.023256825215007725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRGAP2,0.049672751407906314,0.051781049178569044,-0.004479221244710737,0.010136610901291004,0.01673495987590152,0.010652714469101633,0.006928840544424722,0.00559143367376645,0.011876083781007065,0.009099484634159117,0.020838186518321325,-0.015039449983738459,-0.0042285824986022695,-0.002090341973517352,0.020039848997128008,0.011639092993346522
SAT1,0.003299563345927996,0.04767610642038579,-0.036323838912297894,0.019714677084559484,0.021786631360449372,0.004682100003270566,0.005401869354562928,0.00878476197005504,0.012613331434183493,-0.0012396751444453383,-0.008547814484238645,-0.022015925188513075,0.028370154196460592,0.03148498528949246,0.043313936078898094,0.009453562013511657
FRMD4A,0.042610454464168446,0.04753332407126037,-0.04984437811609086,0.01064569779790499,0.015240309160335646,0.024674244651703682,0.060781666602772864,0.03802825378630859,0.01020113647042763,0.011759023355969043,0.0016992434856921415,-0.004807976952710722,-0.025642940961764636,-0.012957313812536545,0.01978286672051165,0.014860826355106242
RASGEF1B,0.05481907297222148,-0.006504847232981396,0.03775456533790744,0.03440978151517604,-0.016567845943748546,0.048711659856171964,0.019752793645876576,-0.001655905654319247,0.04695210568941714,-0.03087046151944571,0.017832761114591252,0.006461402721953029,0.07996865574288325,-0.030339826641384057,0.028186134775936122,-0.032046501322785165
SLC26A3,0.042681339407794214,-0.00702690435392439,0.0374403508903002,0.02949473921439088,-0.015463709726287534,0.048101295628256255,0.018430853941788228,-0.0063390477753693785,0.036085665539750296,-0.029071216036873203,0.014206453491010938,0.007673454869445805,0.07969938315814834,-0.02678736490482588,0.0181892028449766,-0.025818827781111057
AEBP1,0.00029285401787868914,-0.004717017513224919,0.035244472183301595,0.014245571950477938,-0.0003938410905349673,0.0029667502583301895,-0.0012186272146187736,-0.0003768411602627626,0.0,0.0,0.0,-0.001471806603633994,-0.0024485107508463427,-0.006366890263103423,0.005172533977126337,-0.0014763623870552274
MT2A,0.008314999646255818,0.006208895211409541,0.0050986891324959335,0.04760425898455621,0.002059560938964745,0.023714413270319597,-0.021402018486406025,-0.0023173225483014964,0.032793951011518024,-0.01063718425353496,-0.03731185871110405,-0.0013379312223377017,0.01470731287808461,-0.007630466715152599,0.03962357906263661,-0.014301021537826891
CLU,-0.008310765538907475,0.0098639006667654,-0.019420928920604975,0.04643424180684745,0.015949180075549366,0.01608421984120057,-0.033032885652757235,-0.038849825259621884,0.03128148916604554,0.003031048592211546,-0.021667818066823955,-0.020586695379948693,0.026848483107861032,0.003975047975381943,0.04284157827636224,0.006619559058757656
MT1E,0.001537929675849292,-0.0007107857585819923,0.012839451323023074,0.04591253003119776,-0.0006123785362142258,0.007632391773374147,-0.006243130624750122,-0.0018634988128377035,0.009388719450606008,0.0045403383275300635,-0.01947255713030702,0.0009586854725310873,0.009764802703405604,-0.0007088401322498576,0.029334761463769257,-0.001877133117999142
