,Astrocytes 1,Astrocytes 2,Astrocytes 3,Inhibitory 1,Inhibitory 2,Inhibitory 3,Excitatory 1,Excitatory 2,Excitatory 3,Excitatory 4,Microglia 1,Microglia 2,Oligodendrocytes 1,Oligodendrocytes 2,Oligodendrocytes 3,OPCs 1,OPCs 2
PICALM,0,2,0,2,0,0,2,3,4,0,2,2,4,0,0,2,2
APP,2,0,3,1,0,3,1,19,0,5,0,0,9,0,0,7,14
CLU,0,3,24,2,3,0,0,4,0,24,0,0,11,0,11,3,5
APOE,5,13,9,1,0,0,0,0,0,0,11,10,0,0,0,0,12
BIN1,0,0,0,0,0,0,0,4,1,0,5,4,2,0,1,0,0
SORL1,0,3,0,1,1,0,0,3,0,0,6,6,0,0,0,0,0
HLA-DRB1,0,0,0,1,0,0,0,1,0,2,12,7,0,0,0,0,0
GRN,0,0,7,0,0,0,0,0,0,2,8,0,1,0,1,0,0
ADAM10,0,1,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0
NCK2,0,0,0,0,1,0,0,0,5,0,8,5,0,0,0,0,0
SUPT4H1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
PSEN1,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,4,0
FERMT2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
TMEM106B,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0
SPI1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
USP6NL,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
TREM2,0,0,0,0,0,0,0,0,0,0,20,12,0,0,0,0,0
HAVCR2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
CD33,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
CCDC6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TNIP1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AGRN,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
